hostname,ip,platform
eng-spine-1,172.16.2.2,Arista vEOS-lab EOS 4.33.1F
eng-rtr-1.lab.local,172.16.2.1,Cisco IOSv IOS 15.6(2)T
eng-leaf-1.lab.local,172.16.11.41,Cisco IOS IOS 15.2(4.0.55)E
eng-leaf-2.lab.local,172.16.11.42,Cisco IOS IOS 15.2(4.0.55)E
eng-leaf-3.lab.local,172.16.11.43,Cisco IOS IOS 15.2(4.0.55)E
usa-rtr-1.lab.local,172.16.128.5,Cisco IOSv IOS 15.6(2)T
wan-core-1.lab.local,172.16.128.1,Cisco 7200 IOS 15.2(4)M11
eng-spine-2,172.16.2.6,Arista vEOS-lab EOS 4.33.1F
usa-spine-2,172.16.1.6,Arista vEOS-lab EOS 4.33.1F
usa-spine-1,172.16.10.2,Arista vEOS-lab EOS 4.33.1F
usa-leaf-3.lab.local,172.16.10.23,Cisco IOS IOS 15.2(4.0.55)E
usa-leaf-2.lab.local,172.16.10.22,Cisco IOS IOS 15.2(4.0.55)E
usa-leaf-1.lab.local,172.16.10.21,Cisco IOS IOS 15.2(4.0.55)E
