Device,Platform,Vendor,Product,Version,Total CVEs,Critical,High,Medium,Low
eng-leaf-1.lab.local,Cisco IOS IOS 15.2(4.0.55)E,cisco,ios,15.2\(4.0.55\)e,57,1,24,8,0
eng-leaf-2.lab.local,Cisco IOS IOS 15.2(4.0.55)E,cisco,ios,15.2\(4.0.55\)e,57,1,24,8,0
eng-leaf-3.lab.local,Cisco IOS IOS 15.2(4.0.55)E,cisco,ios,15.2\(4.0.55\)e,57,1,24,8,0
usa-leaf-3.lab.local,Cisco IOS IOS 15.2(4.0.55)E,cisco,ios,15.2\(4.0.55\)e,57,1,24,8,0
usa-leaf-2.lab.local,Cisco IOS IOS 15.2(4.0.55)E,cisco,ios,15.2\(4.0.55\)e,57,1,24,8,0
usa-leaf-1.lab.local,Cisco IOS IOS 15.2(4.0.55)E,cisco,ios,15.2\(4.0.55\)e,57,1,24,8,0
eng-spine-1,Arista vEOS-lab EOS 4.33.1F,arista,eos,4.33.1f,0,0,0,0,0
eng-spine-2,Arista vEOS-lab EOS 4.33.1F,arista,eos,4.33.1f,0,0,0,0,0
usa-spine-2,Arista vEOS-lab EOS 4.33.1F,arista,eos,4.33.1f,0,0,0,0,0
usa-spine-1,Arista vEOS-lab EOS 4.33.1F,arista,eos,4.33.1f,0,0,0,0,0
eng-rtr-1.lab.local,Cisco IOSv IOS 15.6(2)T,cisco,ios,15.6\(2\)t,77,1,48,18,0
usa-rtr-1.lab.local,Cisco IOSv IOS 15.6(2)T,cisco,ios,15.6\(2\)t,77,1,48,18,0
wan-core-1.lab.local,Cisco 7200 IOS 15.2(4)M11,cisco,ios,15.2\(4\)m11,92,1,50,17,0
